0	0	1	1	cmp	EPPC_FORMAT_X	EPPC_SUBFORMAT_NONE	false
1	1	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
2	2	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
3	3	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
4	4	1	1	tw	EPPC_FORMAT_X	false	false
5	5	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
6	6	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
7	7	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
8	8	1	1	subfc	EPPC_FORMAT_XO	false	false
9	9	1	1	mulhdu	EPPC_FORMAT_XO	false	EPPC_64ONLY
10	10	1	1	addc	EPPC_FORMAT_XO	false	false
11	11	1	1	mulhwu	EPPC_FORMAT_XO	false	false
12	12	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
13	13	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
14	14	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
15	15	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
16	16	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
17	17	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
18	18	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
19	19	1	1	mfcr	EPPC_FORMAT_X	false	false
20	20	1	1	lwarx	EPPC_FORMAT_X	false	false
21	21	1	1	ldx	EPPC_FORMAT_X	false	false
22	22	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
23	23	1	1	lwzx	EPPC_FORMAT_X	false	false
24	24	1	1	slw	EPPC_FORMAT_X	false	false
25	25	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
26	26	1	1	cntlzw	EPPC_FORMAT_X	false	false
27	27	1	1	sld	EPPC_FORMAT_X	false	EPPC_64ONLY
28	28	1	1	and	EPPC_FORMAT_X	false	false
29	29	1	1	maskg	EPPC_FORMAT_UNKNOWN	false	EPPC_POWER
30	30	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
31	31	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
32	32	1	1	cmpl	EPPC_FORMAT_X	false	false
33	33	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
34	34	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
35	35	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
36	36	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
37	37	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
38	38	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
39	39	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
40	40	1	1	subf	EPPC_FORMAT_XO	false	false
41	41	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
42	42	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
43	43	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
44	44	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
45	45	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
46	46	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
47	47	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
48	48	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
49	49	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
50	50	1	1	rfi	EPPC_FORMAT_XL	false	EPPC_PRIV
51	51	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
52	52	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
53	53	1	1	ldux	EPPC_FORMAT_X	false	EPPC_64ONLY
54	54	1	1	dcbst	EPPC_FORMAT_X	false	false
55	55	1	1	lwzux	EPPC_FORMAT_X	false	false
56	56	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
57	57	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
58	58	1	1	cntlzd	EPPC_FORMAT_X	false	EPPC_64ONLY
59	59	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
60	60	1	1	andc	EPPC_FORMAT_X	false	false
61	61	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
62	62	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
63	63	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
64	64	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
65	65	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
66	66	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
67	67	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
68	68	1	1	td	EPPC_FORMAT_X	false	false
69	69	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
70	70	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
71	71	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
72	72	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
73	73	1	1	mulhd	EPPC_FORMAT_XO	false	EPPC_64ONLY
74	74	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
75	75	1	1	mulhw	EPPC_FORMAT_XO	false	false
76	76	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
77	77	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
78	78	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
79	79	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
80	80	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
81	81	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
82	82	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
83	83	1	1	mfmsr	EPPC_FORMAT_X	false	EPPC_PRIV
84	84	1	1	ldarx	EPPC_FORMAT_X	false	EPPC_64ONLY
85	85	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
86	86	1	1	dcbf	EPPC_FORMAT_X	false	false
87	87	1	1	lbzx	EPPC_FORMAT_X	false	false
88	88	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
89	89	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
90	90	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
91	91	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
92	92	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
93	93	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
94	94	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
95	95	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
96	96	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
97	97	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
98	98	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
99	99	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
100	100	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
101	101	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
102	102	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
103	103	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
104	104	1	1	neg	EPPC_FORMAT_XO	false	false
105	105	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
106	106	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
107	107	1	1	mul	EPPC_FORMAT_UNKNOWN	false	EPPC_POWER
108	108	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
109	109	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
110	110	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
111	111	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
112	112	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
113	113	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
114	114	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
115	115	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
116	116	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
117	117	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
118	118	1	1	clf	EPPC_FORMAT_UNKNOWN	false	EPPC_POWER
119	119	1	1	lbzux	EPPC_FORMAT_X	false	false
120	120	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
121	121	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
122	122	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
123	123	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
124	124	1	1	nor	EPPC_FORMAT_X	false	false
125	125	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
126	126	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
127	127	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
128	128	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
129	129	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
130	130	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
131	131	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
132	132	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
133	133	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
134	134	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
135	135	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
136	136	1	1	subfe	EPPC_FORMAT_XO	false	false
137	137	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
138	138	1	1	adde	EPPC_FORMAT_XO	false	false
139	139	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
140	140	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
141	141	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
142	142	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
143	143	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
144	144	1	1	mtcrf	EPPC_FORMAT_XFX	false	false
145	145	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
146	146	1	1	mtmsr	EPPC_FORMAT_X	false	EPPC_PRIV
147	147	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
148	148	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
149	149	1	1	mtmsr	EPPC_FORMAT_X	false	EPPC_64ONLY
150	150	1	1	isync	EPPC_FORMAT_XL	false	false
151	151	1	1	stwx	EPPC_FORMAT_X	false	false
152	152	1	1	slq	EPPC_FORMAT_UNKNOWN	false	EPPC_POWER
153	153	1	1	sle	EPPC_FORMAT_UNKNOWN	false	EPPC_POWER
154	154	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
155	155	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
156	156	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
157	157	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
158	158	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
159	159	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
160	160	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
161	161	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
162	162	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
163	163	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
164	164	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
165	165	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
166	166	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
167	167	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
168	168	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
169	169	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
170	170	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
171	171	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
172	172	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
173	173	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
174	174	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
175	175	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
176	176	1	1	illegal	EPPC_FORMAT_UNKNOWN	false	false
